question,answer
"How does APPR handle air traffic control delays?","ATC delays are outside airline control, exempting compensation but airlines must still provide care and assistance."
"What if Canadian passengers traveling on codeshare flights under APPR?","The operating airline is responsible for APPR compliance, regardless of which airline sold the ticket."
"Can passengers choose cash over APPR vouchers?","Yes, passengers have the right to monetary compensation and cannot be forced to accept vouchers."
"What if APPR alternative transportation takes significantly longer?","Passengers can refuse unreasonable alternatives, and compensation is based on the delay to the original schedule."
"How does APPR handle mechanical flight problems?","Mechanical issues are within airline control, triggering compensation unless they're sudden and unpredictable safety issues."
"What if passengers bumped from overbooked Canadian flights under APPR?","Involuntary denied boarding triggers the highest compensation levels under APPR, from $900-2400 CAD."
"Can airlines reduce APPR compensation if passengers contributed to problems?","Airlines cannot reduce compensation unless passengers directly caused the specific disruption through their actions."
"How do passengers file APPR complaints with Canadian Transportation Agency?","Passengers must first complain to the airline, then can file with CTA if unsatisfied with the airline's response."
"What evidence do passengers need for APPR compensation claims?","Passengers need boarding passes, tickets, and documentation showing the delay duration and cause."
"Can passengers get both APPR compensation and travel insurance?","Generally yes, as these are different compensation sources, though passengers should check insurance terms."
"What if Canadian airlines refuse to pay APPR compensation?","Passengers can file complaints with the Canadian Transportation Agency for enforcement."
"How does CTA investigate APPR complaints?","CTA reviews evidence from both parties and can order airlines to pay compensation plus potential penalties."
"What if passengers don't receive Canadian airline responses within timeframes?","Airlines must respond within 30 days. Failure to respond allows passengers to escalate to CTA immediately."
"Can passengers get legal fees covered for APPR disputes?","CTA proceedings don't typically award legal fees, but small claims courts might in appropriate cases."
"What if Canadian airlines claim they provided alternate transportation?","Airlines must prove alternatives were reasonable and comparable to original flights to affect compensation."
"How does APPR handle group bookings and family travel?","Each passenger has individual rights under APPR, though families should be kept together when possible."
"What if passengers traveling on Canadian employee tickets?","Staff tickets may have limited APPR protection depending on the specific ticket conditions and employee agreements."
"What if Canadian flights delayed due to bird strikes under APPR?","Bird strikes are typically outside airline control, exempting compensation but requiring care provision."
"How does APPR handle flights diverted to US airports?","Diversions for safety are outside airline control, but airlines must provide transport to final Canadian destinations."
"What if Canadian airlines cancel due to pilot shortages under APPR?","Pilot shortages due to airline planning are within airline control, triggering compensation obligations."
"Can passengers claim APPR compensation for missed vacation time?","APPR provides standardized compensation only. Additional damages require separate legal action."
"What if Canadian flights delayed due to airport security issues?","Security issues are typically outside airline control, exempting compensation but not care obligations."
"How does APPR handle flights cancelled due to COVID restrictions?","Government-imposed COVID restrictions were considered outside airline control during the pandemic."
"What if Canadian passengers denied boarding due to health screening?","Health screening denials may not qualify for denied boarding compensation if passengers failed requirements."
"Can Canadian airlines invoke force majeure to avoid APPR?","Force majeure events may qualify as outside airline control, but airlines must prove the specific connection."
"What if Canadian flights delayed due to customs issues?","Customs delays are typically outside airline control, though airlines should plan for normal processing times."
"How does APPR handle flights with multiple Canadian stops?","Compensation is based on delay to the final destination, considering the entire journey on the same booking."
"What if Canadian airlines claim cybersecurity incidents caused disruptions?","Cybersecurity incidents may be outside airline control depending on their nature and the airline's response."
"Can passengers get APPR compensation for emotional distress?","APPR provides fixed compensation amounts. Emotional distress claims require separate legal action."
"What if Canadian flights cancelled due to labour disputes?","Airline employee strikes are within airline control, while third-party strikes may be considered outside control."
"How does APPR handle charter flights and vacation packages?","APPR applies to charter flights, though vacation package disruptions may involve additional tour operator obligations."
"What if passengers traveling during Canadian national emergencies?","National emergencies may qualify as outside airline control, exempting compensation depending on specific circumstances."
"What if Canadian airlines offer upgrades instead of APPR compensation?","Airlines can offer alternatives, but passengers retain the right to monetary compensation under APPR."
"How does APPR handle flights delayed due to de-icing?","Routine de-icing is airline responsibility. Severe weather requiring extensive de-icing may be outside control."
"What if Canadian passengers miss flights due to arriving late?","Passenger-caused missed flights don't trigger airline compensation obligations under APPR."
"Can Canadian airlines charge change fees during APPR disruptions?","Airlines should waive fees when disruptions are within their control and they're providing alternate transport."
"What if Canadian flights delayed due to aircraft cleaning requirements?","Routine cleaning is within airline control. Enhanced health cleaning may be evaluated based on requirements."
"How does APPR handle unaccompanied minors during disruptions?","Minors have the same rights, with additional care obligations and potential guardian notification requirements."
"What if Canadian airlines claim delays due to previous arrivals?","Aircraft rotation delays are within airline control unless the initial delay was outside their control."
"Can passengers get APPR compensation for missed business meetings?","APPR provides standardized compensation. Consequential business losses require separate insurance or legal action."
"What if Canadian flights delayed due to fuel shortages?","Fuel planning is airline responsibility. External fuel supply issues may be considered outside control."
"How does APPR handle flights cancelled due to airport strikes?","Airport employee strikes are typically outside airline control, exempting compensation but requiring care."
"What if Canadian passengers traveling on award tickets?","Award tickets have the same APPR protections as paid tickets when they involve confirmed reservations."
"Can Canadian airlines reduce APPR compensation for discount tickets?","No, APPR compensation amounts are standardized regardless of ticket price or fare class."
"What if Canadian flights delayed due to passenger medical emergencies?","Medical emergencies are outside airline control, exempting compensation but airlines must provide reasonable care."
"How does APPR handle aircraft maintenance discoveries?","Sudden safety-critical maintenance may be required for safety, potentially reducing but not eliminating compensation."
"What if Canadian airlines overbook premium cabin classes?","Denied boarding compensation applies regardless of cabin class, using standardized APPR amounts."
"Can passengers get Canadian compensation for disruptive passenger delays?","Disruptive passenger incidents are typically outside airline control, exempting compensation obligations."
"What if Canadian flights cancelled due to crew duty limitations?","Crew scheduling within duty limits is airline responsibility, but safety-required crew changes may qualify differently."
"How does APPR handle baggage loading delay issues?","Baggage handling delays are within airline control unless caused by security or external factors."
"What if Canadian passengers denied boarding due to weight limitations?","True weight restrictions for safety may not qualify for denied boarding compensation."
"Can Canadian airlines offer flight credits instead of cash?","Airlines can offer alternatives, but passengers have the absolute right to cash compensation under APPR."
"What if Canadian flights delayed due to air traffic management?","ATM delays are outside airline control, but airlines should plan for normal traffic management procedures."
"How does APPR handle connecting passengers from international flights?","APPR applies to the Canadian segment, though international connection delays may affect overall compensation."
"What if Canadian flights cancelled due to airport equipment failures?","Airport equipment failures are typically outside airline control, exempting compensation but requiring care."
"Can passengers get APPR compensation for missed connections on separate bookings?","APPR applies to each booking separately. Missed connections on separate bookings don't trigger compensation."
"What if Canadian airlines claim force majeure during busy periods?","High demand alone isn't force majeure. Airlines must prove specific external events caused the disruption."
"How does APPR handle passengers with special dietary requirements?","Care obligations include reasonable meal provisions, which should accommodate basic dietary restrictions."
"What if Canadian airlines reschedule flights significantly in advance?","Advance schedule changes may not qualify as cancellations if passengers receive adequate notice and alternatives."
"Can Canadian airlines invoke APPR extraordinary circumstances for computer failures?","IT failures are generally within airline control unless caused by external cyberattacks or infrastructure issues."
"What if Canadian flights delayed due to drone activity?","Drone incidents disrupting airport operations are typically outside airline control."
"How does APPR handle passengers with service animals during disruptions?","Service animals must be accommodated according to accessibility requirements, with additional care considerations during delays."
